Pruebas diarias;Casos positivos
3422;150
2071;258
1914;122
1097;207
1572;115
1819;278
672;241
1186;197
3068;216
1734;253
2519;122
7678;280
1421;383
1062;238
2060;177
1731;356
4295;306
3788;490
3573;628
5703;478
2930;348
1558;384
2391;374
4066;505
3750;537
3858;404
3559;379
2292;319
2172;443
2475;391
1804;424
4764;408
2082;416
2252;565
3083;627
4098;415
2739;808
4666;81
4027;806
6034;1081
8133;695
4776;876
5004;1183
3915;1333
4967;115
4926;1278
5239;1012
5660;2158
6130;1469
4675;24
3785;708
4356;1415
9436;1336
6252;1449
7462;1181
6044;1291
7000;1101
6867;1630
4984;1509
7483;1649
6902;2690
18730;2521
10684;2200
9634;1728
8888;1900
6947;2464
7673;3136
9233;156
7759;1880
5511;3802
12458;4100
9461;3574
7460;3967
10514;2328
9772;3271
12316;2483
11389;105
6545;3208
12881;8584
13404;3239
10792;3182
10271;551
12391;3938
12946;6903
12230;3041
13026;4941
13063;3631
15226;2746
12117;3384
12517;3432
7899;2176
12378;665
13993;8475
16994;1199
13699;7086
16315;110
17532;5063
14895;8429
14913;3575
12545;763
10747;7905
9019;3661
7604;3687
10646;2912
7658;3487
13325;3154
11318;3287
8177;2525
10532;2298
9744;3003
5889;2089
11967;2063
9524;3661
9011;2958
9911;2059
10472;2577
8073;2166
7462;2067
5178;1179
8576;2672
6462;1855
6913;1784
9393;2720
8561;2168
7666;1581
10506;911
8747;1894
7273;2008
8148;2004
11872;1988
6134;1936
6323;1645
9802;1471
7445;1656
4410;1665
10079;2183
6139;1763
7503;1695
5555;1522
8590;968
6989;1509
4131;1956
8222;1320
6764;1686
10162;2271
6159;2053
11631;1736
8029;1592
6865;1688
8464;1786
8048;1930
12912;1521
9719;1530
9778;1047
8269;1017
5722;937
6251;1331
6660;2316
7313;1733
9442;1622
8832;1149
8665;1719
6531;2035
12116;1835
10210;1933
11110;2025
13973;1420
7069;1228
7458;1881
8928;2222
7158;2044
7722;2084
13361;1816
10079;1915
9912;1301
9117;1838
7206;1921
7802;2025
7467;1599
10216;1729
7148;1675
6778;1583
12709;1672
6208;1938
7925;1708
9015;2029
8166;1473
7759;1420
5286;926
11265;1853
9598;2233
5044;1370
8872;2174
9538;1690
6759;2018
7342;1465
8101;1892
7277;2397
9613;2732
10149;2480
11400;2733
12261;1996
7841;1608
8796;1964
9346;2401
12399;2349
12353;1743
9572;3030
10006;2426
7855;1622
9799;2446
5713;2122
10005;2736
11002;2961
10297;2978
11641;3021
10450;2196
8605;3079
11319;3566
7991;4351
14006;3085
15245;3797
13510;3270
8505;2589
8505;3652
14056;4285
19940;4053
19882;4152
12472;2012
8646;3288
11267;3530
6764;4225
13043;4812
12965;4837
10480;2599
